model,mae_15 min,mape_15 min,rmse_15 min,mae_30 min,mape_30 min,rmse_30 min,mae_1 hour,mape_1 hour,rmse_1 hour
STGFORMER_CHEB_TCN_XAVIER_DOW_EXCLUDE_MISSING,2.568929433822632,0.0647599995136261,4.791363161951621,2.79758358001709,0.0734749436378479,5.47727014864613,3.078288555145264,0.0846128687262535,6.278144030544515
STGFORMER_CHEB_TCN_XAVIER_DOW_STAGE1_NORM_IMPUTE,2.653261661529541,0.0673978701233863,5.061862293156337,2.892624616622925,0.0766640156507492,5.737455200818259,3.191313028335572,0.0892420038580894,6.552700027853351
STGFORMER_CHEB_TCN_XAVIER_DOW_STAGE2_NORM_IMPUTE,2.811032772064209,0.0673986449837684,5.82046291489785,3.142256021499634,0.0772750973701477,6.715100809961043,3.5162453651428223,0.0892803817987442,7.620978123321989
STGFORMER_CHEB_TCN_XAVIER_DOW_PRETRAIN_NORM_IMPUTE,2.775452136993408,0.0685840770602226,5.261235521495544,3.0091519355773926,0.0769370421767234,5.885589471041185,3.3009018898010254,0.0881728455424308,6.633585423163423
STGFORMER_CHEB_TCN_EXCLUDE_MISSING,2.568295955657959,0.0649546459317207,4.812053114714447,2.810483455657959,0.0740147680044174,5.511004449639405,3.1237871646881104,0.0859270766377449,6.359833871842991
STGFORMER_CHEB_TCN_XAVIER_DOW_EXCLUDE_MISSING_K8,2.570585966110229,0.0648512840270996,4.797501613185307,2.7998955249786377,0.0736121386289596,5.487921369706658,3.081707000732422,0.0847986862063407,6.293184547820736
STGFORMER_CHEB_TCN_XAVIER_DOW_EXCLUDE_MISSING_K16,2.5688185691833496,0.0647177472710609,4.7893815051023045,2.796778917312622,0.0733941867947578,5.472646317074766,3.076941967010498,0.0844621881842613,6.270569180050314
STGFORMER_FINAL,2.5545499324798584,0.064349390566349,4.779813064367461,2.781243085861206,0.0730073451995849,5.483670007327901,3.061143636703491,0.0840008035302162,6.304086346901465
STGFORMER_INTERNAL_DOW,2.5920631885528564,0.06648550927639,4.943511586764178,2.8322136402130127,0.0756828635931015,5.667539342365929,3.113133668899536,0.0867401659488678,6.466511657010595
ABL_NO_XAVIER,2.561008930206299,0.0647033900022506,4.7872328880434925,2.787886142730713,0.0734574198722839,5.466014243170518,3.069795846939087,0.0848696827888488,6.263832654040357
ABL_NO_DOW,2.5724215507507324,0.0643533170223236,4.76447820154096,2.8133459091186523,0.0729831904172897,5.457732169944103,3.125916242599488,0.0843275338411331,6.303404042805401
ABL_NO_EXCLUDE_MISSING,2.6945974826812744,0.0688702687621116,5.02514125948061,2.9525299072265625,0.0786870718002319,5.753515412833522,3.299044370651245,0.093455322086811,6.66097582475633
ABL_NO_CHEB,2.598318576812744,0.0659995898604393,4.905620947680754,2.8303415775299072,0.0750422626733779,5.5969174756728535,3.1098668575286865,0.0862805917859077,6.382829533044133
ABL_NO_GRAPH,2.6847023963928223,0.0683835744857788,5.045581947236542,3.0074284076690674,0.080666959285736,5.904002251373937,3.489243507385254,0.0998363196849823,7.061820208486083
ABL_NO_TEMPORAL,2.619647741317749,0.0668612271547317,4.907717539959524,2.8556506633758545,0.0759249404072761,5.59558297073224,3.1493160724639893,0.0878950431942939,6.396096421918338
ABL_NO_TCN,2.604149580001831,0.06626404821872711,4.922474851839488,2.8398659229278564,0.0752311497926712,5.614346567043927,3.124290943145752,0.08617955446243286,6.402551988586484
